episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
32,590.0,475,19053,0.1,0.04495581308724124,95.70422349999717,True,False
33,540.0,550,19603,0.1,0.0474346963736317,98.52363808300288,True,False
34,180.0,327,19930,0.1,0.05164157071082694,100.11695550000877,True,False
35,740.0,580,20510,0.1,0.05013899585424826,102.97468749999825,True,False
36,610.0,529,21039,0.1,0.04599989698423693,105.5222786670056,True,False
37,280.0,436,21475,0.1,0.04766716404365153,107.8163523330004,True,False
38,550.0,442,21917,0.1,0.050503033162975636,109.9804465000052,True,False
39,820.0,884,22801,0.1,0.05027950922558211,114.56413733299996,True,False
40,800.0,615,23416,0.1,0.04931441223393981,117.48153066700615,True,False
41,430.0,432,23848,0.1,0.056179422712712375,119.51301799999783,True,False
42,390.0,424,24272,0.1,0.0479723881525954,121.51318741700379,True,False
43,820.0,678,24950,0.1,0.05528657820858282,124.91109858300479,True,False
44,450.0,564,25514,0.1,0.05258840232664812,127.8210875000077,True,False
45,450.0,383,25897,0.1,0.05430039148874736,129.6073679580004,True,False
46,900.0,784,26681,0.1,0.05902264918181665,133.94156387500698,True,False
47,1070.0,617,27298,0.1,0.05735101102694095,137.024368917002,True,False
48,620.0,503,27801,0.1,0.05593208048403973,139.55223095799738,True,False
49,1450.0,730,28531,0.1,0.052467795963921066,143.21444033300213,True,False
50,580.0,535,29066,0.1,0.06144188313897866,145.85519474999455,True,False
51,600.0,579,29645,0.1,0.05500275110504751,150.488599874996,True,False
52,270.0,396,30041,0.1,0.04839494920363932,152.92518612500862,True,False
53,1380.0,886,30927,0.1,0.059082435100545845,157.2258599170018,True,False
54,490.0,533,31460,0.1,0.058389711694152496,159.78181291700457,True,False
55,550.0,608,32068,0.1,0.05498590624866713,162.8213660420006,True,False
56,860.0,622,32690,0.1,0.06641102413376493,165.83313374999852,True,False
57,370.0,431,33121,0.1,0.062035811263033085,168.23304254200775,True,False
58,730.0,673,33794,0.1,0.05762255681301689,171.44870599999558,True,False
59,420.0,372,34166,0.1,0.06328030285095015,173.3138226250012,True,False
60,870.0,603,34769,0.1,0.059418242159515425,176.2990339579992,True,False
61,160.0,273,35042,0.1,0.06424879767548512,177.80837470799452,True,False
62,730.0,578,35620,0.1,0.06505665269134374,180.60402645800787,True,False
63,800.0,834,36454,0.1,0.06942859268299519,184.87269712499983,True,False
64,580.0,565,37019,0.1,0.06654593384831298,187.53472295800748,True,False
65,440.0,493,37512,0.1,0.0663694903074253,189.82057300000452,True,False
66,340.0,432,37944,0.1,0.07017784310435807,192.04144291700504,True,False
67,350.0,406,38350,0.1,0.06718138922559153,194.02327879199584,True,False
68,430.0,460,38810,0.1,0.06689327023113552,196.22315629200602,True,False
69,1390.0,691,39501,0.1,0.06883958558621951,199.90615741700458,True,False
70,1040.0,605,40106,0.1,0.07043048910895325,202.84331658300653,True,False
71,480.0,377,40483,0.1,0.05625045538305285,204.68996337499993,True,False
72,1240.0,833,41316,0.1,0.06022334023953625,208.84105412500503,True,False
73,360.0,406,41722,0.1,0.06563118160102922,210.91192325000884,True,False
74,1490.0,739,42461,0.1,0.06692349150575497,214.5416336250055,True,False
75,780.0,712,43173,0.1,0.07547320593724006,217.98411229200428,True,False
76,2090.0,759,43932,0.1,0.06553648460264269,222.46373483299976,True,False
77,4060.0,1043,44975,0.1,0.0637700452361829,227.36473270799615,True,False
78,500.0,521,45496,0.1,0.07049050819100315,230.20801149999897,True,False
79,870.0,751,46247,0.1,0.06201534571355199,233.68986770800257,True,False
80,600.0,488,46735,0.1,0.07116424380877956,235.90056616700895,True,False
81,390.0,360,47095,0.1,0.06762242501394616,237.61572237500513,True,False
82,840.0,681,47776,0.1,0.07110623404797581,240.8459837919945,True,False
83,910.0,690,48466,0.1,0.07414179666206068,244.22206337499665,True,False
84,610.0,437,48903,0.1,0.08766305514978706,246.21588929199788,True,False
85,600.0,488,49391,0.1,0.06964903257665087,248.60695883299923,True,False
86,800.0,897,50288,0.1,0.07520060088899401,252.9654610830039,True,False
87,350.0,370,50658,0.1,0.07811068224153765,254.63220504199853,True,False
